Bx By Bz
10.77 44.04 -55.62
11.27 41.13 -49.37
11.42 40.39 -48.29
11.61 39.53 -45.62
11.56 39.97 -47.9
11.13 41.87 -51.68
10.9 42.85 -53.44
10.24 45.65 -59.12
9.71 44.39 -57
10.18 44.62 -56.75
10.81 44.34 -55.93
11.2 44.1 -54.85
11.12 43.2 -53.93
10.5 45.79 -59.48
9.39 41.25 -52.61
10.63 41.81 -52.02
11.07 43.77 -55.1
11.13 44.07 -55.48
11.19 42.7 -54.13
11.88 39.26 -46.83
11.91 38.2 -45.65
12.03 38.3 -45.34
11.92 38.73 -45.99
11.48 40.71 -50.25
11 43.27 -54.68
11.34 41.6 -50.88
10.58 43.39 -56.15
10.49 43.57 -58.98
11.1 41.35 -53.07
10.63 43.17 -58.01
10.52 43.33 -58.63
10.13 45.51 -62.51
10.19 45.22 -62.35
9.48 48.84 -69.27
9.62 48.03 -67.33
10.34 44.56 -60.62
9.97 46.61 -64.58
9.72 47.28 -65.51
9.97 46.88 -64.32
10.02 46.79 -63.98
9.7 47.81 -66.43
9.77 46.62 -64.01
10.47 43.86 -58.72
10.28 45.09 -60.85
9.47 47.57 -66.99
9.8 45.9 -63.12
10.08 45.5 -62.53
10.05 45.41 -61.58
10.33 44.86 -60.65
10.06 46.11 -63
9.93 44.56 -61.38
10.58 43.78 -57.79
10.11 46.14 -63.8
10.34 44 -58.86
10.2 44.75 -61.12
10.23 45.33 -61.83
10.52 43.89 -59.62
10.37 43.88 -59.55
10.86 43.07 -56.74
10.23 45.41 -61.25
10.72 42.74 -56.79
10.42 44.66 -59.5
10.75 43.03 -56.47
9.97 46.05 -63.5
11.08 41.86 -53.14
11.23 40.89 -52.73
10.91 41.61 -54.53
11.04 40.93 -52.71
11.1 40.31 -51.48
11.91 37.99 -45.59
11.89 38.28 -46.13
11.02 40.72 -52.73
10.21 45.41 -61.29
10.84 41.42 -54.28
10.91 40.84 -52.69
10.36 44.07 -59.5
10 44.43 -61.23
10.62 43.51 -58.16
10.67 43.38 -57.67
10.37 45.87 -61.43
10.51 44.22 -55.47
10.74 43.08 -51.68
12.14 37.72 -42.05
11.31 39.96 -47.77
11.61 39.93 -47.64
11.8 39.99 -47.47
11.68 39.61 -46.84
11.17 42.19 -51.87
11.45 39.65 -47.38
11.16 40.56 -49.29
11.25 40.92 -49.19
11.56 38.68 -46.25
11.72 38.82 -46.46
11.81 39.32 -46.35
11.9 38.24 -45.15
11.65 38.63 -46.11
11.58 38.46 -46.01
11.45 38.34 -45.79
11.4 39.25 -47.08
11.45 40.28 -48.93
11.62 38.54 -46
11.73 38.62 -46.23
11.07 42.1 -52.69
12.66 35.8 -37.94
12.64 35.98 -38.52
12.8 35.38 -37.6
11.82 39.16 -46.86
11.77 39.53 -47.03
11.72 40.26 -48.02
11.65 39.7 -47.12
11.87 38.9 -46.11
11.79 38.05 -45.32
12.41 36.6 -40.04
11.91 38.57 -45.24
11.58 39.36 -47.41
11.86 38.53 -45.48
11.8 39.87 -46.16
11.7 39.81 -47.1
11.64 39.59 -47.83
11.55 38.56 -45.94
11.49 38.9 -46.52
11.54 38.58 -45.68
11.61 38.94 -46.33
11.52 38.86 -46.38
11.58 38.74 -46.02
11.57 39.01 -46.55
11.67 38.88 -45.95
11.71 39 -46.27
11.19 41 -50.9
11.77 38.89 -46.07
11.83 38.73 -45.61
11.78 38.39 -45.81
11.63 39.46 -48.2
11.75 38.96 -46.24
11.79 39.62 -46.54
11.71 38.72 -45.86
11.64 38.54 -45.49
11.57 38.28 -46.24
11.52 38.61 -46.62
11.56 38.63 -46.11
10.93 43.01 -54.42
11.68 38.56 -45.8
11.36 41.5 -51
11.1 42.48 -53.23
11.74 38.81 -46.25
11.85 38.72 -45.83
11.71 38.51 -45.68
11.85 38.85 -46.01
11.86 39.62 -46.04
12 39.12 -45.51
11.9 40.01 -46.77
11.39 42.22 -51.34
11.88 39.82 -45.89
11.88 38.59 -45.71
11.86 39.18 -47.13
11.81 38.63 -45.54
11.87 38.41 -45.78
11.9 38.56 -45.64
11.81 38.76 -45.57
11.42 39.81 -48
11.94 39.75 -45.82
11.76 38.87 -45.71
11.6 39.53 -46.86
11.62 38.79 -45.59
11.6 39.14 -46.37
11.69 38.95 -45.12
11.84 39.61 -45.7
11.74 38.89 -45.33
11.6 38.69 -46.21
11.57 38.27 -45.14
11.67 38.64 -45.49
11.66 38.46 -45.49
11.65 39.27 -46.51
11.75 38.68 -44.93
11.64 39.1 -46.74
11.83 38.92 -45.9
11.75 39.29 -46.62
11.67 40.33 -48.46
12.44 36.03 -39.08
11.52 41.66 -50.47
11.76 39.84 -47.59
11.31 39.34 -46.65
11.49 40.3 -47.84
10.93 41.6 -49.7
11.71 39.19 -45.87
10.92 40.79 -52.38
10.59 42.29 -56.32
10.9 40.84 -52.93
10.97 40.53 -52.59
11.03 40.96 -52.72
10.79 42.66 -56.1
10.63 42.46 -56.44
10.24 44.47 -60.06
10.52 43.06 -57.32
10.4 44.8 -59.85
10.9 42.49 -56.08
11.1 41.1 -53.34
10.52 40.4 -53.01
11.26 40.6 -52.48
9.24 42.67 -58.73
9.57 48.3 -68.02
9.29 47.87 -67.89
9.67 46.35 -64.21
9.57 48.59 -69.08
9.36 48.67 -69.23
9.43 48.12 -68.23
10.28 44.56 -60.11
10.95 42.27 -55.07
11.07 41.57 -54.24
10.76 42.49 -55.86
11.05 41.77 -53.81
10.93 42.11 -54.41
11.27 40.82 -53.4
11.99 37.7 -45.89
12.13 37.32 -44.92
12.04 37.73 -45.71
12.09 37.12 -44.67
10.55 43.57 -59.43
10.12 45.07 -63.01
9.88 45.91 -64.38
10.02 45.37 -62.83
10.05 46.14 -64.13
9.77 46.98 -66.01
9.58 47.54 -67.33
9.68 47.03 -66.88
9.6 46.88 -67.02
9.6 47.48 -67.32
9.72 46.97 -65.89
9.54 48.38 -69.28
9.38 48.72 -70.27
9.25 48.74 -69.8
9.41 48.2 -68.79
9.29 48.04 -68.68
9.4 48.37 -68.54
9.46 48.11 -67.76
9.48 48.17 -68.2
10.43 46.17 -60.9
10.35 46.2 -60.32
10.65 46.21 -60.32
9.84 46.98 -58.55
10.13 45.37 -54.19
10.01 46.42 -56.29
10.15 46.94 -56.75
8.57 45.35 -59.31
9.2 45.67 -58.95
9.76 47.29 -60.78
10.25 46 -58.72
9.83 45.33 -59.69
10.13 44.91 -58.48
10.41 45.74 -59.81
10.33 45.78 -60.05
10.41 45.21 -58.84
10.43 46.38 -60.9
10.29 46.12 -60.75
10.38 45.54 -59.26
9.94 45.02 -59.53
9.67 44.16 -57.96
9.34 44.18 -57.73
9.56 43.9 -57.54
10.04 44.14 -57.52
10.29 44.82 -58.18
9.82 44.06 -57.49
10.4 42.6 -53.81
10.08 42.82 -54.96
10.26 44.35 -58
11.93 39.31 -46.99
11.62 40.83 -49.37
11.61 41.22 -50.19
11.49 41.19 -50.69
11.04 39.22 -46.83
11.27 40.44 -48.66
10.38 46.21 -60.31
10.49 45.49 -58.11
11.51 40.73 -48.64
12.54 36.2 -39.32
12.92 35.3 -37.13
12.72 35.87 -37.56
12.69 35.72 -37.88
12.85 35.88 -37.27
11.98 37.59 -42.69
12.47 35.7 -38.34
12.79 35.75 -37.68
12.81 35.66 -37.22
12.74 35.72 -37.88
12.66 36.05 -38.37
12.75 35.93 -38.54
12.65 36.44 -38.48
12.74 36.39 -38.75
12.86 35.15 -36.64
12.89 35.25 -35.9
12.76 35.67 -37.51
12.6 36.18 -39.41
12.7 36.16 -37.89
12.8 35.61 -37.54
12.62 36.43 -39.08
12.81 35.68 -37.4
12.62 36.56 -39.45
12.67 36.28 -39
12.52 36.57 -40.39
12.77 35.85 -37.79
12.61 36.23 -39.05
12.73 36.24 -38.23
12.76 35.58 -36.8
12.71 36.12 -38.5
12.62 36.1 -38.87
12.9 35.17 -35.88
12.61 36.46 -38.88
11.9 37.13 -42.14
12.15 38.2 -43.29
11.55 40.35 -48.23
11.06 41.7 -51.75
10.98 43.79 -55.4
10 45.85 -60.71
11.08 42.97 -53.56
11.39 42.15 -51.38
11.58 39.96 -48.3
11.6 38.18 -43.95
12.65 36.07 -38.98
12.81 36.13 -38.39
12.76 35.49 -37.63
12.88 36.01 -38.18
13.03 35.27 -36.64
12.55 36.32 -39.16
10.69 41.08 -50.54
12.64 35.9 -39.09
12.71 35.94 -38.54
12.68 35.92 -38.74
11.79 39.1 -46.91
11.93 38.64 -45.97
12.69 35.6 -38.53
12.69 35.99 -38.52
12.65 36 -39.43
12.64 35.93 -39.07
11.77 38.67 -46.71
11.72 39.25 -47.57
12.69 35.84 -38.6
12.22 37.97 -42.94
11.92 40.18 -46.95
11.87 40.04 -47.15
12.03 40.15 -47.15
11.96 40.6 -47.16
12.73 35.68 -37.57
11.87 40.67 -48.2
12.63 36.17 -38.86
12.51 36.78 -39.99
12.23 37.5 -42.62
12.78 36 -38.82
12.64 35.95 -37.94
11.67 39.23 -45.22
12.66 35.93 -38.28
12.01 37.22 -44.22
12.09 37.18 -44.48
12.23 37.03 -44.28
12 37.03 -44.43
12.06 37.29 -44.84
12.15 37.23 -43.7
12.05 37.58 -44.54
12.14 37.28 -44.02
12.12 37.35 -43.73
12.21 37.26 -44.35
12.2 37.01 -43.62
12.04 37.16 -44.64
12.04 37.3 -44.51
12.13 37.14 -43.72
12.09 37.34 -44.81
12.23 37.04 -43.91
11.85 37.95 -46.63
11.81 37.59 -45.26
12.04 37.27 -44.78
12.11 37.05 -43.95
12.09 37.04 -44.2
11.85 37.59 -45.74
11.83 37.87 -45.97
12.08 36.97 -44.46
12.14 36.82 -43.49
11.82 37.87 -46.21
12.04 37.11 -44.21
12.08 37.17 -44.13
12.01 37.63 -45.04
12.07 37.31 -44.38
12.02 37.34 -44.66
12.13 37.28 -44.28
12 37.24 -44.65
11.85 38.03 -46.37
12.09 37.07 -43.61
12.02 37.19 -44.71
11.65 38.52 -48.39
11.84 37.79 -46.51
11.04 40.47 -53.39
12.08 36.84 -44.14
11.03 40.56 -52.77
10.7 41.96 -56.51
11.07 40.66 -53.05
10.74 43.04 -57.85
10.45 43.88 -59.5
11.21 40.43 -51.64
11.79 38.16 -46.92
11.26 40.41 -51.98
10.43 43 -58.33
11.6 39.34 -44.5
10.81 42.92 -52.63
10.97 43.58 -55.24
12.61 36.25 -39.27
11.63 39.36 -47.51
12.5 36.92 -41.01
12.7 36.4 -39.33
12.65 36.2 -39.36
12.7 36.15 -38.81
12.34 38.49 -44.32
12.56 36.29 -39.29
12.67 35.62 -37.85
12.46 37.44 -41.11
11.79 39.03 -46.04
11.51 39.36 -47.12
12 37.46 -43.32
11.71 40.06 -48.38
11.76 39.42 -46.48
12.65 36.7 -39.82
12.25 37.19 -42.74
12.32 36.68 -40.62
12.25 36.22 -39.5
11.59 39.46 -46.81
11.52 40.13 -47.54
11.33 40.31 -48.89
11.28 40.85 -50.57
11.85 39.54 -45.68
12.71 36.35 -39.32
12.81 35.65 -37.24
12.67 36.12 -38.73
12.39 37.59 -42.19
12.53 36.35 -39.97
12.44 37.04 -41.47
12.03 38.71 -45.72
12.06 38.77 -45.51
11.95 38.42 -45.76
12.47 36.97 -41.53
12.46 36.87 -41.09
12.1 38.26 -44.73
12.02 38.05 -43.97
12.18 38.58 -44.51
11.86 38.53 -44.64
12.48 37.16 -40.86
12.72 35.69 -37.59
12.7 35.56 -37.62
12.73 36.47 -39.45
12.72 35.47 -37.45
12.8 35.66 -37.48
12.82 35.72 -37.66
12.73 35.8 -38.07
11.65 40.31 -48.48
11.76 39.25 -47.39
11.8 39.52 -46.36
12.31 37.21 -41.1
12.58 36.6 -39.74
12.7 35.45 -37.4
12.7 35.4 -37.53
12.83 35.27 -36.84
12.8 35.63 -37.57
12.86 35.28 -36.87
12.74 35.55 -38.03
11.47 40.07 -48.8
11.26 41.39 -52
11.13 43.59 -54.81
11.8 39.36 -46.64
11.22 41.56 -51.94
12.4 36.32 -39.35
11.78 38.39 -45.95
11.93 37.98 -44.33
12.46 35.86 -39.13
11.97 38.6 -45.39
12.05 37.92 -44.22
11.76 39.28 -46.56
12.41 37.06 -40.67
11.45 42.24 -51.1
12.35 37.42 -41.64
12.67 35.63 -38.15
12.17 38.13 -44.67
12.41 37.21 -42.04
12.17 38.37 -44.75
12.06 38.5 -44.94
12.03 38.51 -45.05
11.81 39.9 -47.65
12.52 36.57 -39.9
12.48 36.32 -39.35
12.71 35.59 -37.55
12.72 35.74 -37.74
12.66 35.77 -38.05
12.71 35.81 -38.31
12.68 35.85 -38.02
12.62 36.14 -38.31
12.57 35.86 -38.1
12.71 35.92 -37.68
12.56 36.13 -38.47
12.08 39.85 -45.21
12.57 36.76 -39.09
12.69 35.92 -37.87
12.34 36.19 -38.99
11.14 40.22 -48.35
11.46 40.06 -48.47
11.31 40.94 -49.68
12.02 38.22 -43.61
11.35 42.21 -50.62
10.78 41.42 -49.46
11.68 37.03 -41.6
11.42 38.55 -46.8
11.25 37.1 -44.79
11.27 37.66 -45.73
11.22 37.44 -45.04
10.41 39.97 -51.38
10.08 41.13 -53.05
10.71 39.1 -49.02
10.93 38.68 -48.09
10.4 40.51 -52.67
10.63 39.79 -50.83
9.96 39.85 -52.06
10.52 40.99 -53.5
11 41.09 -52.5
11.86 37.89 -44.72
11.91 37.45 -43.9
11.11 41.18 -52.05
11.29 37.69 -45.31
11.56 38.25 -46.25
10.72 41.25 -53.55
12.11 37.54 -43.73
12.17 37.88 -44.99
11.54 39.5 -49.33
12.07 37.43 -44.29
11.52 40.09 -49.75
11.59 39.53 -48.23
12.01 37.37 -43.77
12.04 37.56 -43.63
11.14 39.01 -48.3
11.25 40.09 -50.21
11.59 38.65 -46.68
11.3 40.11 -50.69
11.8 38.15 -45.99
11.09 39.35 -49.12
11.42 38.47 -47.09
11.49 38.45 -46.73
10.54 42.57 -55.85
11.83 38.26 -46.39
11.53 39.17 -48.06
11.75 38.13 -45.94
10.81 41.85 -54.6
11.09 41.08 -53.28
11.14 41 -53.35
11.06 40.97 -53.23
11.62 37.87 -46.27
10.88 41.56 -54.24
11.14 41.37 -52.84
11.02 41.81 -54.08
11.1 41.21 -52.91
10.17 44.9 -60.96
11.17 40.95 -51.41
11.91 36.76 -43.23
12.21 37.13 -43.14
11.81 39.18 -45.81
11.63 39.87 -45.28
12.08 38.53 -44.7
12.71 36.27 -37.76
12.95 35.68 -36.94
12.9 35.74 -36.79
12.66 36.76 -39.14
12.67 37.03 -39.44
12.94 35.45 -36.17
12.8 36.03 -37.65
12.86 35.5 -36.47
12.91 35.81 -36.68
12.99 35.84 -37.03
12.96 36.36 -37.87
12.99 35.74 -37.31
12.82 35.85 -37.21
12.73 35.48 -35.92
12.77 35.81 -35.42
12.29 38.42 -42.36
12.61 36.1 -38.28
12.6 35.84 -38.25
12.75 35.47 -36.69
12.8 35.92 -37.32
12.83 35.51 -36.36
12.78 35.66 -37.41
12.71 35.6 -37.1
12.89 35.8 -36.96
12.65 35.98 -37.81
12.69 35.37 -36.86
12.7 35.47 -36.89
12.7 35.44 -36.51
12.53 35.54 -36.95
12.78 35.63 -37.13
12.58 36.45 -38.97
12.55 35.78 -37.33
12.79 35.47 -36.64
12.81 35.35 -35.89
12.79 36.08 -38.02
12.66 36.21 -37.67
12.01 36.64 -40.48
12.81 36.18 -37.39
12.89 35.77 -37.02
12.74 35.58 -36.69
12.79 36.06 -37.9
12.82 35.41 -36.66
12.83 35.52 -36.99
12.85 35.49 -36.8
12.7 35.98 -38.33
12.56 36.53 -38.88
12.48 36.22 -38.72
12.87 35.73 -36.94
12.8 35.94 -37.94
12.7 36.19 -37.26
12.8 35.53 -36.73
12.76 36.01 -38.09
12.79 35.96 -37.34
12.7 35.81 -36.85
12.45 37.2 -40.13
12.1 38.47 -44.1
11.97 38.41 -44.62
12.21 37.56 -41.92
11.97 38.94 -45.26
11.41 41.27 -49.9
11.71 40.04 -47.2
11.45 40.75 -49.63
11.2 41.71 -50.58
11.12 42.53 -52.15
11.02 43.15 -54.03
10.85 43.65 -55.36
11.47 41.8 -50.44
11.34 41.68 -49.92
11.16 42.04 -51.17
10.52 41.62 -50.63
10.42 42.9 -53.66
10.91 42.56 -52.04
10.06 40.77 -49.91
10.93 41.7 -51.22
11.06 42.64 -52.56
11.41 36.43 -40.39
11.21 38.02 -44.21
10.94 39.05 -45.38
11.89 36.74 -40.03
11.78 36.87 -40.35
11.94 36.71 -40.01
12.36 36.46 -38.73
12.68 35.95 -37.27
12.83 35.68 -36.24
12.72 35.9 -37
12.84 35.6 -35.97
12.8 35.87 -37.25
12.78 36.02 -37.75
13.07 35.67 -36.26
12.91 35.47 -36.19
12.92 36.03 -37.31
12.84 36.23 -37.76
12.9 35.52 -36.5
12.92 35.83 -37.07
12.51 37 -39.98
12.86 35.79 -37.18
13.1 35.57 -36.77
12.76 36.7 -38.9
12.72 36.37 -38.53
12.47 36.14 -37.62
12.61 36.39 -38.67
11.86 39.63 -44.71
12.72 36.65 -38.87
12.06 37.58 -44.33
12.22 37.49 -43.59
12.15 37.49 -43.48
12.19 37.37 -43.24
11.04 40.69 -52.79
9.8 42.22 -56.21
10.51 39.19 -50.26
11.33 41.08 -53.24
11.35 41.17 -52.11
11.93 38.3 -45.46
12.07 37.81 -44.08
12.09 37.21 -43.69
12.18 37.52 -43.6
11.87 38.11 -45.04
12.08 37.66 -44.17
12.12 37.84 -44.89
12.22 37.47 -43.77
